Header,Document,Tokens
Axes stratégiques par ligne « Métier »,"a d
Expertise et MOD Immobilier locatif
• BET:Stratégiedecroissance • Investissement massif sur ce segment: Parcs d’affaires
• MOD : Centralisation au sein d’une seule entité pour offshoring/ Bureaux/ Commerces/ Industrie/Logement
l’accompagnement de l’Immobilier locatif dans un premier résidentiel/Logementestudiantin/Bâtimentsétatiques
tempsetl’étatdansunsecondtemps • Rapprochement desfoncières
b e
Aménagement FM et Gestion pour compte
Axes
• Dév.denouvelleszonesurbaines Stratégiques • Centralisation des métiers FM et PM au sein de Xperis
• Sortie/Dilution dans les SPV portant des zones dépassant les Services
« Métiers »
prérogativesdelaCDG • Recherche de partenaires pouvant apporter une Valeur
• Dév.desZonesFranches enpartenariataveclesRégions Ajoutée :Energie,Gestiondesdéchetsindustriels
• PositionnementsurlesmarchéshorsCDG
c f
Immobilier Promotionnel
Nouveaux métiers
• CAP Excellence : Repositionnement sur les segments à forte
valeurajoutée
11
",298
Axes stratégiques par ligne « Métier »,"a
• Etudede positionnementstratégiquevalidéeparlesinstancesde NOVEC
• PMO mis en place pour le suivi des différents chantiers stratégiques issus de l’étude de
positionnement
• Travauxencours pourla concrétisationdesdifférentschantiersde transformationidentifiés:
o La valorisation et la structuration des synergies CDG - Novec dans le développement des
grandsprojetsd’intérêtpublic
o Lerenforcementdupositionnementetdela reconnaissancedeNovecàl’international
o LaconsolidationdesactivitéstraditionnellesdeNovec,
o Ledéveloppementdel’offred’ingénierieindustrielleauseindeNovec
Ingénierie et MOD
o Et de façon transverse sur le développement de nouvelles approches et prestations intégrées,
une organisation agile et efficiente, un capital humain de qualité, l’innovation, la durabilité et
ledigital.
•Un partenariat à l’international est en cours de négociation, en ligne avec l’orientation stratégique de
Novec
•Carnet de commande cumulatif important, totalisant plus de 1 GDH soit plus de 3 années d’activité
(276 MDH denouveauxcontratsconclusen2021)
•Réponse à plus de 440 appels d’offres pour des commandes gagnées de 276 MDH (10 MDH à
l’international)
b
• MEDZ :
•Etude de positionnement stratégique de Medz en cours
•Accompagnement effectif de régions dans le déploiement d’une offre industrielle riche et
Aménagement intégrée
• SAZ : Identification d’un nouveau schéma de partenariat avec l’Etat
• SONADAC : Protocole d’accord conclu avec l’AUC pour le transfert
• AUDA : Réflexion en cours par rapport à la structuration du haut de bilan
12
",458
Axes stratégiques par ligne « Métier »,"c
• Finalisation du plan CAP Excellence, avec des résultats concrets sur les performances
opérationnelles en termes d’optimisation des marges (couts, qualités et délais)
• Déploiement d’un plan de déstockage agressif
• Sortie effective du segment « Logement Social »
• Déploiement de l’organisation intégrée
Immobilier Promotionnel
• Transfert des actifs touristiques à la Branche Tourisme
• Restructuration du capital
• Plusieurs opportunités foncières en cours d’acquisition et de traitement par les instances
concernées
d
• Rapprochement entre Ewane Assets et Foncière Chellah :
•Processus de fusion entre les deuxstructures en cours
Immobilier Locatif
•Réflexion entamée par rapport à l’organisation cible post-fusion
•Plusieurs nouvelles opportunités d’investissements en cours d’évaluation
e
• Etude de positionnement stratégique finalisée
• Pôle Service lancé sous la marque Xperis Services, avec une nouvelle vision et de nouvelles
ambitions de croissance
FM & Property Management
• Intégration des équipes concernées au niveau de Xperis Services et mise en place des taskforces
dédiées aux différents chantiers identifiés (développement, gestion de la relation client…)
• Objectif de réaliser un CA cible de 500 MDH à horizon 2025
13
",337
Partenariat stratégique entre,"CDG Dév. et la Fondation Cheikh Khalifa
Partenariat stratégique et structurant pour les deux entités
dans les domaines de la Santé et l’Education
1
Evaluation des schémas de valorisation et la réalisation
de Projets à travers le Royaume
2
Opérationnalisation du partenariat à travers l’évaluation
d’un premier projet au niveau de la ville de Fès
3
Extension de la collaboration à des projets se situant
dans d’autres villes : Région de l’oriental (Saaidia/Nador),
Agadir, Béni Mellal, Tétouan, Guelmim, Dakhla et
Mohammédia
14
",164
Chantiers internes :,"Knowledge Management
Démarrage effectif du Projet : Mars 2022
Les principales phases du projet sont:
• Etape 1 : Diagnostic qui débouche sur la vision de ce que devrait être
leKnowledge management
Lancement du projet « Knowledge
• Etape 2 : Sessions de formation aux porteurs du projets et aux experts
Management » pour répondre aux
relais
enjeux stratégiques de la Branche
• Etape 3 : Identification des méthodes et solutions technologiques
Développement Territorial
adaptées et répondant au besoin
• Etape 4 : Définition de la feuille de route pour la mise en œuvre du
projet, débouchant sur un plan d’action à court et moyen terme
• Etape 5 : Accompagnement pour la mise en place du dispositif qui
aura été établi
15
",200
Chantiers internes :,"Cercles de l’Innovation
Reprise du chantier « Innovation » en 2022
1
Mise en place d’un cercle de
Mettre en œuvre une stratégie d’innovation, en ligne avec
l’innovation au niveau de la
la stratégie globale et les métiers de la Branche
Branche Développement
Développement Territorial
Territorial
Missions du
2
Faire de l’innovation une composante essentielle de l’ADN
de la branche et instaurer une culture permanente de
créativité
Quête continue de
performance et de création
3
de valeur pour l’ensemble
Mettre l’intelligence collective au service de la
des filiales de la Branche
performance, à travers une démarche de co-construction
16
",195
Chantiers internes :,"Etude stratégique sur l’immobilier
Etude stratégique sur l’immobilier
Lancement d’une étude stratégique sur l’immobilier au niveau du périmètre de la région de Casablanca et de Rabat, afin de redéfinir la stratégie
immobilière de la Branche et le positionnement de son offre immobilière.
Phase 1 Phase 2 Phase 3
« Clôturée» « Livrables finalisés» « En initiation »
«Analyse du secteur» «Positionnement des Projets «Modélisation du marché et
Immobiliers de la Branche » scénarios d’action »
▪ Analyse du cadre réglementaire
et du panorama politique du ▪ Cartographie des projets de la ▪ Proposition d’un plan d’action
secteurdel’immobilier. Branche. incluant les mesures pour gérer
▪ Diagnostic de l’évolution et la ▪ Confrontation spatiale du stock l’aprèsCriseCovid-19.
dynamique dumarché. et de l’offre de la Branche à ▪ Proposition des fourchettes de
▪ Analyse concurrentielle de l’offre celuidesconcurrents. prix et une stratégie de
etdustockexistant. ▪ Définition d’une stratégierelative Commercialisation.
▪ Analysedel’impact COVID-19et au positionnement de l’offre de
desnouvellestendances. laBrancheetconclusions.
✓ Rapport détaillé dudiagnostic et ✓ CartesdesprojetsdelaBranche ✓ Rapport détaillé de la
analysedumarchéimmobilier ✓ Cartes relatives aux projets modélisation du marché et des
concurrents scénarios
✓ Rapports de l’étude des projets ✓ Note sur le plan d’action et les
etrecommandations recommandations
17
",446
Filiales : Réalisations S1 2022,"Métier « Ingénierie
et MOD »
Agrégats financiers Principaux faits marquants
Chiffre d’affaires (MDH)
•Miseenœuvredunouveauplan stratégiquede NOVEC conformémentauplanningpréconisé
•Enquêtedesatisfaction«clientsinternes»(activitéssupports)avecuntauxglobalde91%
301
87% 32% •Forts impacts de la conjoncture économique actuelle sur les principaux donneurs d’ordres, et
notamment danslesecteur«BâtimentsetEnergie»
95 109 •Carnet de commande cumulatif important, totalisant plus de 1 GDH à fin mai 2022 soit plus de 3
annéesd’activité
•Efforts soutenus pour laprospectioncommerciale :Réponse à plusde 188 appels d’offres(dont5
Atterissage S1 2022 Budget S1 2022 Budget 2022
MDH àl’international)
Résultat d’exploitation (MDH)
33
Analyse des agrégats
37% 14%
13
5
•Chiffre d’affaires:
✓ CA S1 2022 représentant 32% du CA budgété en 2022, marqué essentiellement par une baisse de
Atterissage S1 2022 Budget S1 2022 Budget 2022 la production suite au ralentissement des projets de différent pôles, dont notamment le pôle
bâtiment
Résultat Net (MDH)
•Résultatd'exploitation:
✓ REX S1 2022 de 5 MDH (14% du budget 2022), avec le maintien des efforts pour l’optimisation des
21
chargesdestructure
29% 11%
8 •Résultatnet:
2 ✓ RésultatnetprévisionnelenS1 2022 de2 MDH, soit11%dubudget2022
Atterissage S1 2022 Budget S1 2022 Budget 2022 19
Atter. S1-22 / Bud. S1 22 Atter, S1-22/ Bud. 22
",513
Filiales : Réalisations S1 2022,"Métier « Aménagement
»
Agrégats financiers (*) Principaux faits marquants
Chiffre d’affaires (MDH)
•Etude de positionnement stratégique de MedZ : Cadre de référence du nouveau business model en cours
devalidation
411 •Lancementdu nouveauprojetagropoleLoukkous: (50 Ha)étudesdeconceptionréalisées
28%
•Extension de nouvelles tranches : Parc de Jorf Lasfar (Phase II et Phase III), Parc de Haliopolis, Phase III de
115 l’Agropole,(Réceptionetéclatementdestitresencours)
•Signature d’une convention de financement du projet de la ZAI avec la mobilisation d’une subvention de
Atterissage S1 2022 Budget 2022
200MDH (Appuidirectauxinvestisseurs)
Résultat d’exploitation (MDH)
•Signature d’un Protocole d’Accord entre CDG Développement et l’AFD visant à promouvoir le modèle de
Atterissage S1 2022 Budget 2022
développementdurableetinclusifchoisiparle Marocdanssonnouveaumodèlededéveloppement
0
- Analyse des agrégats
•Chiffre d’affaires:
-24 ✓ CA prévu pour S1 2022 de 115 MDH représentant 28% du budget 2022 se composant principalement des
revenusrelatifsà l’activité«Industrie»pour94MDH
Résultat Net (MDH) • Résultatd'exploitation:
28
✓ Le Résultat d’exploitation s’établie à -24 MDH en S1 2022, en hausse de 8% par rapport au réalisé du S1
2021
18
>100%
•Résultatnet:
✓ Résultat Net de 28 MDH prévu pour le S1 2022, contre 18 MDH en budgété pour 2022, porté par la hausse
du résultat financier suite à l’optimisation des charges financières et à l’imputation des dividendes de
l’annéesurlesrésultatsenS12022.
Atterissage S1 2022 Budget 2022
20
(*) MEDZ Aménagement, incluant les structures suivantes : MEDZ, AFZI, HALIOPOLIS et SAPS
Atter. S1-22 / Bud. 22
",584
Filiales : Réalisations S1 2022,"Métier « Aménagement
»
Agrégats financiers Principaux faits marquants
Chiffre d’affaires (MDH) •Libérationdufoncier:348 hatotalementlibéréset10haconcernantl’héliportencours
•Avancementdestravaux:
•Secteur1→Aménagementsachevés(dontnotammentAnfaPark),jardindelaPalmeraieencoursdetravaux(3ha)
•Secteur 2 → (1) Aménagements de la Partie 1 (40ha) et la Partie 2 (20 ha – 2ème phase de la Place Financière) achevés
965
2% - et titres fonciers obtenus | (2) Travaux d’aménagements de la Partie 3 (36ha) en cours de réalisation | (3) Appels
d’offresencourspourlelancementdestravauxrelatifsàla3èmetranchedelaplacefinancière(46ha)
205 •Secteur 3 → Aménagement de la Partie 1 (36ha – 3ème phase de la Place Financière) : Etudes achevées et lancement
4 destravauxprogrammépour 2022
•Parking de la Palmeraie (1500 places) : Etude de conception en cours pour un démarrage des travaux prévu courant T3
Atterissage S1 2022 Budget S1 2022 Budget 2022 2022|ConcertationencoursavecXperisServicespour lagestionduparking
•Poursuite des efforts pour la commercialisation des parcelles se situant au niveau de la Phase 2 de la Place Financière
Résultat d’exploitation (MDH) (162,000m²SHONplacés)
•AOlancéspourleplacementdelotsdestinésàdesprogrammesimmobiliersrésidentielsetdebureaux(réceptiondesoffres
331
courant S22022)
- -
Analyse des agrégats
84
-28
•Investissements:
Atterissage S1 2022 Budget S1 2022 Budget 2022
✓ Réalisation du budget d’investissement 2022 à hauteur de 20% expliqué par (1) la programmation de
Résultat Net (MDH) l’acquisition du foncier destiné à la relocalisation des services de l’aviation civile pour le T3 2022 (2) le
lancement des travaux d’aménagement de la 3ème tranche de la place financière, ainsi que le ceux du
parkingsouterraincourantT32022 et(3)lereportdel’acquisitiondescommerces
299
- - •RéalisationsS1 2022:
94
✓ Compte tenu de la nature de l’activité de l’AUDA, les réalisation financières du T1 2022 et S1 2022 ne sont
-17
pasreprésentatives parrapportauxperformancesannuelles
Atterissage S1 2022 Budget S1 2022 Budget 2022 21
Atter. S1-22 / Bud. 22
",744
Filiales : Réalisations S1 2022,"Métier « Aménagement
»
Agrégats financiers Principaux faits marquants
•Libération du foncier : Démolition de 71 % des cabanons (opération à clôturer en 2023) et un
Chiffre d’affaires (MDH)
avancementdesréinstallationsenligneaveclesobjectifs.
570
•Pôle Santé:Projetautoriséen2021 ettravauxdeterrassementencours
100% 25% •Pôle Education: Vente d’une parcelle de près de 3 Ha à l’Université Hassan 2 pour le développement du
CampusIntelligenceTerritorialeetEconomique
140 140 •Locomotive – Ecole : Signature du contrat de vente d’une parcelle de 17.500 m² au Groupe SABIS pour le
développementd’uneécoleauniveauduquartierdela ferme(ouvertureprévuepourlarentrée2024)
•Pôle Commercial : Retail park commercialisé à 100% et démarrage de la commercialisation de son
Atterissage S1 2022 Budget S1 2022 Budget 2022 extension
Résultat d’exploitation (MDH) •Financement : Restructuration du prêt accordé par l’AFD, à travers notamment le rallongement des
maturitésderemboursementenprincipalde4 à 14 annéesafindesoulagerlapressionsurlatrésorerie.
95
110% 19% Analyse des agrégats
•RéalisationsS1 2022:
18 17
✓ CAprévupourleS1 2022 pour140 MDH,représentant25%dubudgetannuel
Atterissage S1 2022 Budget S1 2022 Budget 2022
✓ Compte tenu de la nature de l’activité de la SAZ, les réalisation financières courant T1 et S1 2022 ne
Résultat Net (MDH)
sontpasreprésentatives parrapportauxperformancesannuelles
33% 11%
34
11
4
Atterissage S1 2022 Budget S1 2022 Budget 2022
22
Atter. S1-22 / Bud. S1 22 Atter, S1-22 / Bud. 22
",540
Filiales : Réalisations S1 2022,"SAR
Métier « Aménagement
»
Agrégats financiers Principaux faits marquants
Chiffre d’affaires (MDH) HayRyad–Secteur25 :
• Autorisation de lotir sous réserve de la présentation des documents techniques et de la levée de
l’avis défavorable de la REDAL (Jugement en faveur de la SAR par rapport au procès
630
7% concernantlepuit)
• ConventiondeMODsignéeavecMedZ pourla réalisationdestravauxd’aménagement
• EtudeslancéesencollaborationavecNOVEC:APS achevésetAPDencours
42 OuledDlim:
• Travauxdereprisesachevésetréceptionprovisoireprononcée
Atterissage S1 2022 Budget 2022 • Processusd’éclatementdestitresencoursdefinalisationauniveauducadastre
Résultat d’exploitation (MDH) OuledMtâa :Réceptiondéfinitiveobtenue
210 Analyse des agrégats
17%
•Chiffre d’affaires:
36 ✓ CA prévu pour le S1 2022 représentant 7% du budget 2022, expliqué principalement par le
décalagedelasignaturedescontratsdeventedeslotsduprojet«OuledDlim» auS2 2022
Atterissage S1 2022 Budget 2022
•Résultatd’Exploitation:
Résultat Net (MDH)
✓ Résultat d’exploitation en S1 2022 représentant 17% du budget 2022 expliqué par le décalage
duCA
143
13% •RésultatNet:
✓ RésultatNetprojetépourleS1 2022 totalisant19 MDH
19
Atterissage S1 2022 Budget 2022
23
Atter. S1-22 / Bud. 22
",459
Filiales : Réalisations S1 2022,"Métier « Immobilier Locatif
»
Agrégats financiers (*) Principaux faits marquants
Chiffre d’affaires (MDH) •Finalisation de la passation avec Xperis Services sur le volet FM & PM et conclusion du contrat de prestation de
serviceenmai2022
101% 50% 102% 102%
•Commercialisation de 3 700 m² sur l’année 2022 (95% sur les bureaux) soit près de 18% du budget
286 286 281
commercialisation et élargissement de l’offre commerciale des bureaux afin d’intégrer les aménagement des
140 138 clients
•Assetmanagement/développement : Plusieurs opportunités d’investissements dans l’immobilier commercial et du
BTS(industrie/logistique)encoursd’évaluation
Atterissage S1 Budget S1 2022 Forecast 2022 Forecast 2022 Budget 2022 •Expertise en cours des actifs du portefeuille en vue du rapprochement du foncier de laBranche et remontée des
2022 avec cession sans cession
valeursenT1 2022
SCR SCR
•Mise en place d’un plan d’actions afin de faire face aux demandes d’accompagnement et des souhaits de
Résultat d’exploitation (MDH)
résiliationdesclientsd’ArribatCentersuiteàl’aggravationdeseffetsdelapandémie
116% 56% 113% 113%
120 120
106 Analyse des agrégats
59 51
•Chiffre d’affaires:
✓ TauxderéalisationduCAS12022enligneaveclebudget2022(50%)
Atterissage S1 Budget S1 2022 Forecast 2022 Forecast 2022 Budget 2022
2022 avec cession sans cession
SCR SCR
•Résultatd’Exploitation:
Résultat Net (MDH) ✓ Résultat d’exploitation en S1 2022 de 59 MDH représentant 56% du budget 2022, induit par un CA en
ligneaveclebudgetetunerepriseTSC prescritedel’ordrede15 MDH
136% 54% 117% 103%
99 •RésultatNet:
87 85
✓ Atterrissage du RN au titre de 2022 en cohérence avec les prévisions et qui sera impacté par la
46
34
réalisationdelacessionduplateaudebureauxdestinéà laSCR(Sixtymain street)
Atterissage S1 Budget S1 2022 Forecast 2022 Forecast 2022 Budget 2022
2022 avec cession sans cession
SCR SCR 24
(*) Périmètre social
Atter. S1-22 / Bud. S1 22 Atter. S1-22 / Bud. 22 Fore,-22 avec SCR / Bud. 22 Fore,-22 SS SCR / Bud. 22
",699
Filiales : Réalisations S1 2022,"Métier « Immobilier Locatif
»
Agrégats financiers Principaux faits marquants
Chiffre d’affaires (MDH)
•Développement de la parcelle O au niveau du site Casanearshore et lancement du projet
Village Motor
487
39%
•BIM « Building Information Modeling » : Expérimentation lors de la construction de la Parcelle O à
188 Casanearshore et généralisation du BIM à moyen Terme sur l’ensembledu patrimoine
•Fusion d’Ewane et de Foncière Chellah : Valorisation du patrimoine réalisée et processus de
Atterissage S1 2022 Budget 2022 fusion en cours
Résultat d’exploitation (MDH)
•Lancement de l’appel d’offres pour le projet de l’installation du Photovoltaïque sur les trois
Atterissage S1 2022 Budget 2022
parcs de EA (CNS, TRS et Fès shore.)
197
42%
Analyse des agrégats
82
•Chiffre d'affaires:
✓ CA prévu pour le S1 2022 de 188 MDH représentant 39% du budget 2022 marqué principalement un CA
importantconcernant l’activité «Locatif-Offshoring »(placementde 100%de la parcelleR etdubâtiment 9
surTechnopolis)
Résultat Net (MDH)
91
•Résultat d’Exploitation:
✓ Résultat d’exploitation du S1 2022 totalisant près de 82 MDH (42% du budget 2022)en ligne avec l’évolution
23% duCA
21
•Résultat Net:
✓ Résultat Net prévu pour le S1 2022 de 21 MDH impacté par le résultat non courant de - 8 MDH suite au
Atterissage S1 2022 Budget 2022
contrôlefiscalduparcdeCasanearshore 25
Atter. S1-22 / Bud. 22
",487
Filiales : Réalisations S1 2022,"Métier « Immobilier Locatif
»
Agrégats financiers Principaux faits marquants
Chiffre d’affaires (MDH) •Clôture de la convention de l’UIR : PV de clôture et d’apurement des comptes en cours de
signature
83% 46% •Contrat de gestion de la résidence de la Fondation Hassan II de Rabat en cours de validation,
86
entréeenexploitationprévuepourAoût2022
48 •Perspectives de montée en charge au niveau des sites de l’UM6P: mise en exploitation de 900 lits
40
supplémentairesà BenGuériret1000lits àRabatcourantT3 2022
•Mise en place d’un plan d’action d’urgence en coordination avec les autorités locales ayant
permis la maîtrise du risque de survenance de nouvelles chutes partielles des logements menaçant
Atterissage S1 2022 Budget S1 2022 Budget 2022
ruine
Résultat d’exploitation (MDH) •Avancement des travaux de la résidence pour le compte de la Fondation Hassan II des Œuvres
SocialespourlesAgentsd’Autorités(ouvertureprévueenT3 2022)
92% 59% 20 Analyse des agrégats
12 13
•Chiffre d'affaires:
✓ CA réalisé au T1 2022au même niveau que celui de T1 2021(19,4 MDH Vs 19,6 MDH en 2021)suite
à la signature de deux nouveaux contrats avec l’UM6P et la FH2 de Rabat et ce, malgré la
résiliationducontratavecl’UIR
Atterissage S1 2022 Budget S1 2022 Budget 2022
Résultat Net (MDH) •Résultat d’Exploitation:
✓ Charges d’exploitation en atterrissage S1 2022 représentant 59% du budget et en alignement
77% 49% avecl’évolutionduCA
18
9 11
•Résultat Net:
✓ Le Résultat Net en S1 2022 ressort à 9 MDH soit 49% du budget 2022 marqué par l’augmentation
Atterissage S1 2022 Budget S1 2022 Budget 2022 deschargesnon courantesrelativesà lacontributiondesolidarité(impact-900 KMAD)
26
Atter. S1-22 / Bud. S1 22 Atter, S1 22/ Bud. 22
",614
Filiales : Réalisations S1 2022,"Métier « Immobilier Locatif
»
Agrégats financiers Principaux faits marquants
Chiffre d’affaires (MDH) •Lancement de la commercialisation des lots R+4 du projet Al Azzouzia et prévision de démarrage
destravauxrelatifsàla deuxièmetrancheenT3 2022
31% 180 •Concrétisationdesaugmentationsdeloyers de8%surl’ensembleduparclocatif
•Premiers retours positifs suite à la mise en place de la stratégie de recouvrement des impayés
56 concernant les redevances locatives (baisse du solde total des impayés de 1MDH à fin 2021 et de
645 KDHà fin2022)
•Signature encours d’unprotocole d’accordavec la CMR afind’assurer le prélèvementà la source
Atterissage S1 2022 Budget 2022
desloyersdesretraités
Résultat d’exploitation (MDH)
36
41% Analyse des agrégats
15
•Chiffre d’affaires:
Atterissage S1 2022 Budget 2022 ✓ Chiffre d’affaires prévu pour le S1 2022 représentant 31% du budget annuel, constitué
principalement du chiffre d’affaires relatif à l’activité promotionnelle (Réalisation de 23% du CA
budgété)
Résultat Net (MDH)
•Résultatd’Exploitation:
✓ Résultat d’exploitation positif de 15 MDH en S1 2022 impactépar le chiffre d’affaires de l’activité
33% promotionnelle et la projection de réalisation des travaux de la deuxième tranche du projet Al
34
Azzouziaen septembredecetexercice
11
•RésultatNet:
✓ RésultatNetprévupourleS1 2022 de11 MDH représentant33%dubudget2022
Atterissage S1 2022 Budget 2022
27
Atter. S1-22 / Bud. 22
",513
